canton,energyreporter_date,solar_power_installed_kwp
NE,2021-10-31,60546
NE,2021-11-30,60783
NE,2021-12-31,62782
NE,2022-01-31,63239
NE,2022-02-28,63958
NE,2022-03-31,65541
NE,2022-04-30,67482
NE,2022-05-31,68806
NE,2022-06-30,69178
NE,2022-07-31,68075
NE,2022-08-31,69391
NE,2022-09-30,71875
NE,2022-10-31,71875
NE,2022-11-30,73169
NE,2022-12-31,74890
NE,2023-01-31,74890
NE,2023-02-28,77145
NE,2023-03-31,78457
NE,2023-04-30,80354
NE,2023-05-31,81618
NE,2023-06-30,83128
NE,2023-07-31,85146
NE,2023-08-31,87257
NE,2023-09-30,87257
NE,2023-10-31,87567
NE,2023-11-30,89194
NE,2023-12-31,99921
NE,2024-01-31,101102
NE,2024-02-29,101102
NE,2024-03-31,101102
NE,2024-04-30,106910
NE,2024-05-31,109208
NE,2024-06-30,109208
NE,2024-07-31,117113
NE,2024-08-31,117113
NE,2024-09-30,122923
NW,2021-03-31,8170
NW,2021-04-30,8173
NW,2021-05-31,9962
NW,2021-06-30,10274
NW,2021-07-31,10386
NW,2021-08-31,10386
NW,2021-09-30,10608
NW,2021-10-31,10669
NW,2021-11-30,10760
NW,2021-12-31,10821
NW,2022-01-31,10823
NW,2022-02-28,13033
NW,2022-03-31,13130
NW,2022-04-30,13497
NW,2022-05-31,14006
NW,2022-06-30,14209
NW,2022-07-31,14196
NW,2022-08-31,14479
NW,2022-09-30,14927
NW,2022-10-31,14927
NW,2022-11-30,15081
NW,2022-12-31,15322
NW,2023-01-31,15322
NW,2023-02-28,15542
NW,2023-03-31,15774
NW,2023-04-30,15879
NW,2023-05-31,16288
NW,2023-06-30,17270
NW,2023-07-31,17575
NW,2023-08-31,17684
NW,2023-09-30,17684
NW,2023-10-31,17739
NW,2023-11-30,18002
NW,2023-12-31,19552
NW,2024-01-31,20481
NW,2024-02-29,20481
NW,2024-03-31,20481
NW,2024-04-30,22652
NW,2024-05-31,23430
NW,2024-06-30,23430
NW,2024-07-31,25646
NW,2024-08-31,25646
NW,2024-09-30,27030
OW,2021-03-31,15357
OW,2021-04-30,15358
OW,2021-05-31,16560
OW,2021-06-30,16822
OW,2021-07-31,17384
OW,2021-08-31,17384
OW,2021-09-30,17515
OW,2021-10-31,17706
OW,2021-11-30,17801
OW,2021-12-31,17977
OW,2022-01-31,18010
OW,2022-02-28,18498
OW,2022-03-31,18702
OW,2022-04-30,18843
OW,2022-05-31,19068
OW,2022-06-30,19088
OW,2022-07-31,19052
OW,2022-08-31,19551
OW,2022-09-30,19906
OW,2022-10-31,19906
OW,2022-11-30,20012
OW,2022-12-31,20624
OW,2023-01-31,20624
OW,2023-02-28,21325
OW,2023-03-31,21691
OW,2023-04-30,22391
OW,2023-05-31,22635
OW,2023-06-30,22810
OW,2023-07-31,23051
OW,2023-08-31,23399
OW,2023-09-30,23399
OW,2023-10-31,23690
OW,2023-11-30,24644
OW,2023-12-31,25877
OW,2024-01-31,27284
OW,2024-02-29,27284
OW,2024-03-31,27284
OW,2024-04-30,30254
OW,2024-05-31,30841
OW,2024-06-30,30841
OW,2024-07-31,32067
OW,2024-08-31,32067
OW,2024-09-30,33554
SG,2021-03-31,201146
SG,2021-04-30,201149
SG,2021-05-31,225183
SG,2021-06-30,230302
SG,2021-07-31,234222
SG,2021-08-31,234222
SG,2021-09-30,239212
SG,2021-10-31,245254
SG,2021-11-30,249463
SG,2021-12-31,255573
SG,2022-01-31,255647
SG,2022-02-28,258397
SG,2022-03-31,265690
SG,2022-04-30,268902
SG,2022-05-31,274573
SG,2022-06-30,276594
SG,2022-07-31,276055
SG,2022-08-31,282253
SG,2022-09-30,288142
SG,2022-10-31,288117
SG,2022-11-30,293856
SG,2022-12-31,306710
SG,2023-01-31,306709
SG,2023-02-28,310548
SG,2023-03-31,315310
SG,2023-04-30,326845
SG,2023-05-31,331216
SG,2023-06-30,341255
SG,2023-07-31,346293
SG,2023-08-31,355290
SG,2023-09-30,355290
SG,2023-10-31,359628
SG,2023-11-30,366292
SG,2023-12-31,391074
SG,2024-01-31,401509
SG,2024-02-29,401509
SG,2024-03-31,401509
SG,2024-04-30,431250
SG,2024-05-31,443118
SG,2024-06-30,443118
SG,2024-07-31,478680
SG,2024-08-31,478680
SG,2024-09-30,506448
SH,2021-03-31,21251
SH,2021-04-30,21251
SH,2021-05-31,27073
SH,2021-06-30,27370
SH,2021-07-31,27695
SH,2021-08-31,27695
SH,2021-09-30,27944
SH,2021-10-31,28910
SH,2021-11-30,29478
SH,2021-12-31,29810
SH,2022-01-31,29814
SH,2022-02-28,29874
SH,2022-03-31,30458
SH,2022-04-30,30803
SH,2022-05-31,31507
SH,2022-06-30,31662
SH,2022-07-31,31631
SH,2022-08-31,31952
SH,2022-09-30,32491
SH,2022-10-31,32491
SH,2022-11-30,33038
SH,2022-12-31,34162
SH,2023-01-31,34162
SH,2023-02-28,34996
SH,2023-03-31,35513
SH,2023-04-30,36118
SH,2023-05-31,36556
SH,2023-06-30,37651
SH,2023-07-31,38104
SH,2023-08-31,38801
SH,2023-09-30,38801
SH,2023-10-31,39076
SH,2023-11-30,39841
SH,2023-12-31,42244
SH,2024-01-31,43803
SH,2024-02-29,43803
SH,2024-03-31,43803
SH,2024-04-30,47871
SH,2024-05-31,50547
SH,2024-06-30,50547
SH,2024-07-31,52296
SH,2024-08-31,52296
SH,2024-09-30,55203
SO,2021-03-31,102341
SO,2021-04-30,102341
SO,2021-05-31,109980
SO,2021-06-30,111698
SO,2021-07-31,113007
SO,2021-08-31,113007
SO,2021-09-30,114179
SO,2021-10-31,116073
SO,2021-11-30,117501
SO,2021-12-31,119250
SO,2022-01-31,119263
SO,2022-02-28,119919
SO,2022-03-31,121326
SO,2022-04-30,122973
SO,2022-05-31,125047
SO,2022-06-30,126340
SO,2022-07-31,126271
SO,2022-08-31,128136
SO,2022-09-30,131386
SO,2022-10-31,131387
SO,2022-11-30,133121
SO,2022-12-31,136294
SO,2023-01-31,136294
SO,2023-02-28,139392
SO,2023-03-31,141200
SO,2023-04-30,147648
SO,2023-05-31,149980
SO,2023-06-30,155359
SO,2023-07-31,156697
SO,2023-08-31,157486
SO,2023-09-30,157486
SO,2023-10-31,160230
SO,2023-11-30,162673
SO,2023-12-31,172410
SO,2024-01-31,177549
SO,2024-02-29,177549
SO,2024-03-31,177549
SO,2024-04-30,193437
SO,2024-05-31,197446
SO,2024-06-30,197446
SO,2024-07-31,208481
SO,2024-08-31,208481
SO,2024-09-30,216742
SZ,2021-03-31,40557
SZ,2021-04-30,40557
SZ,2021-05-31,44099
SZ,2021-06-30,45252
SZ,2021-07-31,45414
SZ,2021-08-31,45414
SZ,2021-09-30,46201
SZ,2021-10-31,47060
SZ,2021-11-30,48219
SZ,2021-12-31,50160
SZ,2022-01-31,50160
SZ,2022-02-28,50600
SZ,2022-03-31,52012
SZ,2022-04-30,52329
SZ,2022-05-31,53737
SZ,2022-06-30,53958
SZ,2022-07-31,53653
SZ,2022-08-31,54610
SZ,2022-09-30,55826
SZ,2022-10-31,55826
SZ,2022-11-30,57015
SZ,2022-12-31,58127
SZ,2023-01-31,58127
SZ,2023-02-28,59578
SZ,2023-03-31,61326
SZ,2023-04-30,62786
SZ,2023-05-31,64121
SZ,2023-06-30,66951
SZ,2023-07-31,67700
SZ,2023-08-31,69319
SZ,2023-09-30,69319
SZ,2023-10-31,71631
SZ,2023-11-30,73048
SZ,2023-12-31,79621
SZ,2024-01-31,83732
SZ,2024-02-29,83744
SZ,2024-03-31,83732
SZ,2024-04-30,94844
SZ,2024-05-31,97253
SZ,2024-06-30,97253
SZ,2024-07-31,102742
SZ,2024-08-31,102742
SZ,2024-09-30,107174
TG,2021-03-31,129029
TG,2021-04-30,129027
TG,2021-05-31,152342
TG,2021-06-30,162586
TG,2021-07-31,164438
TG,2021-08-31,164438
TG,2021-09-30,165806
TG,2021-10-31,168821
TG,2021-11-30,171476
TG,2021-12-31,175424
TG,2022-01-31,175931
TG,2022-02-28,177284
TG,2022-03-31,181588
TG,2022-04-30,183115
TG,2022-05-31,188205
TG,2022-06-30,189750
TG,2022-07-31,188836
TG,2022-08-31,192877
TG,2022-09-30,195798
TG,2022-10-31,195798
TG,2022-11-30,201562
TG,2022-12-31,207348
